No.,ID,Name,URL,Address,State,Contact details 1,Contact details 2,Contact details 3,Contact details 4,Contact details 5,Contact details 6,Contact details 7,Good/BAD
1017,120255,Dunham’s Sports #247,https://www.henryusa.com/dealer-location/dunhams-sports-247/,"1501 LaFayette ParkwayLaGrange, GA 30241",Georgia,Empty field,706-882-3619,Empty field,https://www.dunhamssports.com/,706-407-4199,Empty field,Empty field,
1018,120338,Dunham’s Sports #278,https://www.henryusa.com/dealer-location/dunhams-sports-278/,"2215 Memorial Drive (Suite 400)Waycross, GA 31501",Georgia,Empty field,912-548-0029,Empty field,https://www.dunhamssports.com/,912-548-0031,Empty field,Empty field,
1019,93106,Eagle Gun Range,https://www.henryusa.com/dealer-location/eagle-gun-range/,"109 Woodfield DriveMacon, GA 31210",Georgia,Hamp Dowling,478-757-4867,bcdeagle@mindspring.com,Empty field,Empty field,Empty field,Empty field,
1020,93110,Eagle Pawn Outfitters,https://www.henryusa.com/dealer-location/eagle-pawn-gun/,"2023 Memorial DriveWaycross, GA 31501",Georgia,Empty field,912-284-1004,Empty field,Empty field,912-283-3283,Empty field,Empty field,
1021,93050,Eds Pawn Shop,https://www.henryusa.com/dealer-location/eds-pawn-shop/,"4431 N Henry BlvdStockbridge, GA 30281",Georgia,Empty field,770-474-6084,salmond@edspublicsafety.com,Empty field,Empty field,Empty field,Empty field,
1022,93147,Elite Pawn & Jewelry Inc,https://www.henryusa.com/dealer-location/elite-pawn-jewelry-inc/,"2235 Sigman Road SWConyers, GA 30012",Georgia,Empty field,770-483-1649,Empty field,http://WWW.ELITEPAWNINC.COM,Empty field,Empty field,Empty field,
1023,93148,Elite Pawn and Sales,https://www.henryusa.com/dealer-location/elite-pawn-and-sales/,"4286 Joe Frank Haris PkwyAdairsville, GA 30103",Georgia,Doug & Johonna Spears,770-334-2757,elitepawn@live.com,Empty field,Empty field,Empty field,Empty field,
1024,101993,Ez Pawn & Guns,https://www.henryusa.com/dealer-location/ez-pawn-guns/,"12450 Hwy 27Summerville, GA 30747",Georgia,Blake or Jennifer Jones,706-857-5231,ezpawnndguns2010@hotmail.com,http://www.ezpawnandguns.com,Empty field,Empty field,Empty field,
1025,93160,Firearms Traders Warehouse,https://www.henryusa.com/dealer-location/firearms-traders-warehouse/,"3565 Pio Nono AveMacon, GA 31206",Georgia,Empty field,478-747-0254,Empty field,Empty field,Empty field,Empty field,Empty field,
1026,93163,First Choice Jewelry & Pawn Inc,https://www.henryusa.com/dealer-location/first-choice-jewelry-pawn-inc/,"1520 N ASHLEY STREETValdosta, GA 31602",Georgia,Empty field,229-242-2146,Empty field,Empty field,Empty field,Empty field,Empty field,
1027,113258,Flint River Outfitters,https://www.henryusa.com/dealer-location/flint-river-outfitters/,"400 North Clay StBainbridge, GA 39817",Georgia,Blake Daughtry or Lawson Chandler,229-246-2112,flintriveroutfittersga@gmail.com,https://www.flintriverco.com/,229-246-3112,Empty field,Empty field,
1028,93138,Fmj Armory,https://www.henryusa.com/dealer-location/full-metal-jacket/,"2221 West Point RdLagrange, GA 30240",Georgia,Empty field,706-756-1000,mark.fmj@gmail.com,Empty field,706-756-1002,Empty field,Empty field,
1029,93030,Forest Park Army-Navy Store,https://www.henryusa.com/dealer-location/forest-park-army-navy-store/,"PO Box 1003Forest Park, GA 30298",Georgia,Empty field,404-366-7479,Empty field,Empty field,Empty field,Empty field,Empty field,
1030,93180,Forsyth Classics & Armory,https://www.henryusa.com/dealer-location/forsyth-county-pawn/,"211 Atlanta RdCumming, GA 30040",Georgia,Empty field,770-889-6564,info@lakesidemunitions.com,https://www.lakesidemunitions.com/,Empty field,Empty field,Empty field,
1031,93062,Foxhole Guns & Archery,https://www.henryusa.com/dealer-location/foxhole-guns-archery/,"1358 Plaza DrGainesville, GA 30501",Georgia,Empty field,770-297-8500,foxholeguns@gmail.com,https://www.shopfoxhole.com/,678-828-5900,Empty field,Empty field,
1032,93081,Franklin Gun Shop Inc.,https://www.henryusa.com/dealer-location/franklin-gun-shop-inc/,"3941 Atlanta HighwayAthens, GA 30606",Georgia,Mark Franklin,706-543-7803,franklingu@aol.com,https://franklingunshopinc.com/,706-543-8311,Empty field,Empty field,
1033,93171,Franks Firearms,https://www.henryusa.com/dealer-location/franks-firearms/,"140 N Louisville StHarlem, GA 30814",Georgia,Empty field,706-556-9006,Empty field,Empty field,Empty field,Empty field,Empty field,
1034,93175,Ga Firing Line,https://www.henryusa.com/dealer-location/ga-firing-line/,"2727 Canton Rd HWY 5Marietta, GA 30066",Georgia,Empty field,770-425-8461,Empty field,Empty field,Empty field,Empty field,Empty field,
1035,93039,Gable Sporting Goods,https://www.henryusa.com/dealer-location/gable-sporting-goods/,"6250 Fairburn RoadAtt DannyDouglasville, GA 30134",Georgia,Empty field,770-942-5397,gableguns@yahoo.com,Empty field,Empty field,Empty field,Empty field,
1036,93118,Georgia Gun Club Llc,https://www.henryusa.com/dealer-location/georgia-gun-club-llc/,"1951 Braselton HwyBuford, GA 30519",Georgia,Empty field,678-620-3008,verne@georgiagunclub.com,Empty field,Empty field,Empty field,Empty field,
1037,93037,Georgia Gun Store Inc,https://www.henryusa.com/dealer-location/georgia-gun-store-inc/,"130 John W Morrow Pkwy, Ste CGainesville, GA 30501",Georgia,Empty field,678-906-5821,Empty field,Empty field,Empty field,Empty field,Empty field,
1038,93052,Georgia Range & Guns,https://www.henryusa.com/dealer-location/georgia-range-guns/,"285 Lake Mirror RoadForest Park, GA 30297",Georgia,Empty field,404-366-7861,info@rangeandgun.com,Empty field,Empty field,Empty field,Empty field,
1039,116729,Gloria’s Country Collectibles,https://www.henryusa.com/dealer-location/glorias-country-collectibles/,"717 Main StreetWhitesburg, GA 30185",Georgia,Julie Meeks,470-729-4320,gloriascollectibles2022@gmail.com,Empty field,Empty field,Empty field,Empty field,
1040,93144,Governors Gun Club,https://www.henryusa.com/dealer-location/governors-gun-club/,"5740 CH James ParkwayPowder Springs, GA 30127",Georgia,Empty field,678-384-0005,Empty field,Empty field,Empty field,Empty field,Empty field,
1041,119112,Gray Station Firearms & Pawn,https://www.henryusa.com/dealer-location/gray-station-firearms-pawn/,"108 Railroad StreetGray, GA 31032",Georgia,Chris Williams,478-221-3114,chris@graystationfirearms.net,https://graystationfirearms.net/,Empty field,Empty field,Empty field,
1042,117860,Grove Gun Shop,https://www.henryusa.com/dealer-location/grove-gun-shop/,"201 Tanger BlvdLocust Grove, GA 30248",Georgia,Josh Hensley/ Jonathan Parrott,678-814-4831,grovegunshop@gmail.com,https://grovegunshop.com/,Empty field,Empty field,Empty field,
1043,101182,Gun Commanders,https://www.henryusa.com/dealer-location/gun-commander/,"5290 US-129 SouthCleveland, GA 30528",Georgia,Gun Commanders,706-865-4861,sales@guncommanders.com,Empty field,Empty field,Empty field,Empty field,
1044,93044,"Gun Pro Shop Llc, The",https://www.henryusa.com/dealer-location/gun-pro-shop-llc-the/,"Gun Pro Shop, The6116 HWY 515 North Ste DEllijay, GA 30536",Georgia,Empty field,706-698-4867,Empty field,Empty field,Empty field,Empty field,Empty field,
1045,93091,Guns Of Yesteryear,https://www.henryusa.com/dealer-location/guns-of-yesteryear/,"3936 Chattanooga RoadTunnel Hill, GA 30755",Georgia,Empty field,706-673-2506,garygreene@optilink.us,Empty field,Empty field,Empty field,Empty field,
1046,93145,Gunsmoke Firearms,https://www.henryusa.com/dealer-location/gunsmoke-firearms/,"101 Overlook CircleCanton, GA 30115",Georgia,Sean Jerguson,678-880-8764,hicalibercorp1@gmail.com,http://www.Hicaliberfirearms.com,Empty field,Empty field,Empty field,
1047,93123,Halls Hardware,https://www.henryusa.com/dealer-location/halls-hardware/,"4750 US 319 NNorman Park, GA 31771",Georgia,Empty field,229-769-3522,hallshardware@windstream.net,Empty field,Empty field,Empty field,Empty field,
1048,93126,Hamilton Gun & Pawn,https://www.henryusa.com/dealer-location/hamilton-gun-pawn/,"9124 US Hwy 27Hamilton, GA 31811",Georgia,Empty field,706-628-4447,hamiltongunandpawn@gmail.com,Empty field,Empty field,Empty field,Empty field,
1049,97981,Harley’s Guns & Ammo,https://www.henryusa.com/dealer-location/harleys-guns-ammo/,"21380 US Hwy 319 NorthCoolidge, GA 31738",Georgia,Scott Pierce,229-850-0009,slp_cars4sale@yahoo.com,http://www.harleysguns.com,Empty field,Empty field,Empty field,
1050,93130,Hill Top Pawn Shop Inc,https://www.henryusa.com/dealer-location/hill-top-pawn-shop-inc/,"1882 Athens HWYSnellville, GA 30078",Georgia,Empty field,770-978-7079,hilltop@bellsouth.net,Empty field,Empty field,Empty field,Empty field,
1051,93103,Howard’s Pawn & Jewelry,https://www.henryusa.com/dealer-location/howards-pawn-jewelry/,"3171 Mercer University DrMacon, GA 31204",Georgia,Matt Darley,478-743-5727,matt@howardspawnmacon.com,http://[email protected],Empty field,Empty field,Empty field,
1052,93159,Hughes Outdoors,https://www.henryusa.com/dealer-location/hughes-outdoors-2/,"1737 Murphy HwyBlairsville, GA 30512",Georgia,Ralph Hughes,706-745-1340,handhoutdoors@windstream.net,http://www.hughes-outdoors.com/,Empty field,Empty field,Empty field,
1053,93045,Jackson True Value,https://www.henryusa.com/dealer-location/jackson-true-value-2/,"124 N. Mulberry StJackson, GA 30233",Georgia,Empty field,770-775-3000,w2w@bellsouth.net,Empty field,Empty field,Empty field,Empty field,
1054,93083,Jerrys Sport Shop,https://www.henryusa.com/dealer-location/jerrys-sport-shop/,"PO Box 189Ambrose, GA 31512",Georgia,Empty field,912-359-3241,Empty field,Empty field,Empty field,Empty field,Empty field,
1055,93149,Johns Creek Indoor Gun Range Llc,https://www.henryusa.com/dealer-location/johns-creek-indoor-gun-range-llc/,"7790 Mcginnis Ferry RdSuwanee, GA 30024",Georgia,Empty field,770-476-9036,info@johnscreekindoorgunrange.com,Empty field,Empty field,Empty field,Empty field,
1056,93112,Jot Em Down Outdoors,https://www.henryusa.com/dealer-location/jot-em-down-outdoors/,"3425 Hwy 84 WestBlackshear, GA 31516",Georgia,Empty field,912-449-0095,jotemdown007@gmail.com,Empty field,912-449-2725,Empty field,Empty field,
1057,93125,Kens Trading Company,https://www.henryusa.com/dealer-location/kens-trading-company/,"93 Magnolia DriveTifton, GA 31794",Georgia,Empty field,229-386-1854,ken.beasley@fenderauto.com,Empty field,Empty field,Empty field,Empty field,
1058,93086,La Armory,https://www.henryusa.com/dealer-location/la-armory/,"5696 West Ave.Lavonia, GA 30553",Georgia,Daniel or Katie Adams,706-356-1760,laarmory@gmail.com,http://www.laarmory.net,Empty field,Empty field,Empty field,
1059,109537,"Lizella Firearms, Llc",https://www.henryusa.com/dealer-location/lizella-firearms-llc/,"3311 Holley Rd.Lizella, GA 31052",Georgia,Bill Bynum,478-808-4102,lizellafirearms@gmail.com,Empty field,Empty field,Empty field,Empty field,
1060,93036,Lone Wolf Range & Indoor Shtng Ctr Llc,https://www.henryusa.com/dealer-location/lone-wolf-range-indoor-shtng-ctr-llc/,"Dead Center Indoor Gun Range1759 Buford HWYBuford, GA 30518",Georgia,Empty field,770-614-0562,info@deadcenterrange.com,http://www.deadcenterrange.com,770-614-0563,Empty field,Empty field,
1061,112213,M&p Tactical Llc,https://www.henryusa.com/dealer-location/mp-tactical-llc/,"113 A E County RdThomaston, GA 30286",Georgia,Derek Phillips,706-938-0004,support@mptacticalllc.com,http://www.mptacticalllc.com,706-938-0202,Empty field,Empty field,
1062,93165,Mainstreet Guns and Range,https://www.henryusa.com/dealer-location/mainstreet-guns-range/,"405 Killian Hill Rd NWLilburn, GA 30047",Georgia,Crystal Schultz,770-923-9810,info@MainstreetGunsandRange.com,http://www.MainstreetGunsandRange.com,Empty field,Empty field,Empty field,
1063,93074,Martins Coins & Firearms,https://www.henryusa.com/dealer-location/martins-coins-firearms/,"800 N Main St Ste 200Alpharetta, GA 30009",Georgia,Empty field,678-292-6006,Empty field,Empty field,Empty field,Empty field,Empty field,
1064,93105,Mike’s Gunroom Llc,https://www.henryusa.com/dealer-location/mikes-gunroom-llc/,"170 W Athens StreetWinder, GA 30680",Georgia,Mike Mundy,678-975-7299,info@mikesgunroom.com,https://www.mikesgunroom.com/,Empty field,Empty field,Empty field,
1065,93107,"Mission Essential, Inc",https://www.henryusa.com/dealer-location/mission-essential-inc/,"918 B Hoolywood DriveHinesville, GA 31313",Georgia,Empty field,912-408-2006,Empty field,http://www.missionessentialusa.com,912-408-2007,Empty field,Empty field,
1066,105739,Morgan Arms,https://www.henryusa.com/dealer-location/morgan-arms/,"3877 Ga Hwy 2Cohutta, GA 30710",Georgia,Bill Morgan,706-271-6515,billsco08@gmail.com,http://morgan-arms.com/,Empty field,Empty field,Empty field,
1067,93046,Moss Pawn Shop,https://www.henryusa.com/dealer-location/moss-pawn-shop/,"6382 Old Dixie RoadJonesboro, GA 30236",Georgia,Empty field,770-968-4949,mosspawn@mosspawn.net,http://www.mosspawn.net,770-968-4315,Empty field,Empty field,
1068,93133,Moultrie Shooters Supply Llc,https://www.henryusa.com/dealer-location/moultrie-shooters-supply-llc/,"130 Woodmen RdMoultrie, GA 31768",Georgia,Empty field,229-890-7383,moultrieshooterssupply@hotmail.com,Empty field,Empty field,Empty field,Empty field,
1069,93082,North Georgia Sports,https://www.henryusa.com/dealer-location/north-georgia-sports/,"273 Hwy 72 WestComer, GA 30629",Georgia,Empty field,706-783-5086,Empty field,Empty field,Empty field,Empty field,Empty field,
1070,93155,Northside Pawn Shop,https://www.henryusa.com/dealer-location/northside-pawn-shop/,"1110 HWY 19 NThomaston, GA 30286",Georgia,Empty field,706-648-2466,Empty field,Empty field,Empty field,Empty field,Empty field,
1071,93127,Northside Pawn Shop/Sports Center,https://www.henryusa.com/dealer-location/northside-pawn-shop-sports-center/,"1648 Manchester ExpresswayColumbus, GA 31904",Georgia,Empty field,706-322-0561,smith.debbie@moneymizer.net,Empty field,706-571-9812,Empty field,Empty field,
1072,93168,Oakwell Armory,https://www.henryusa.com/dealer-location/oakwell-armory/,"230 B South Lee StreetKingsland, GA 31548",Georgia,Empty field,912-729-7606,oakwellarmory@gmail.com,Empty field,Empty field,Empty field,Empty field,
1073,113120,Palmetto State Armory – Savannah,https://www.henryusa.com/dealer-location/palmetto-state-armory-savannah/,"2307 US-80Garden City, GA 31408",Georgia,Dorian Lawhead,912-335-3720,info@palmettostatearmory.com,http://www.palmettostatearmory.com,Empty field,Empty field,Empty field,
1074,93153,"Patriot Pawn-N-Shop, Inc.",https://www.henryusa.com/dealer-location/patriot-pawn-n-shop-inc/,"562 Hardee StSuite BDallas, GA 30132",Georgia,Empty field,770-443-7370,Empty field,Empty field,Empty field,Empty field,Empty field,
1075,110349,Pawn Country Inc.,https://www.henryusa.com/dealer-location/pawn-country-inc/,"302 East Pine St.Fitzgerald, GA 31750",Georgia,Jason Floyd,229-345-1020,PawnCountry@gmail.com,https://www.facebook.com/PawnCountry1,Empty field,Empty field,Empty field,
1076,93178,"Pawn Place, The",https://www.henryusa.com/dealer-location/pawn-place-the/,"1010 East King Ave Ste BKingsland, GA 31548",Georgia,Empty field,912-510-7296,Empty field,Empty field,Empty field,Empty field,Empty field,
1077,93051,Read’s Gun Shop,https://www.henryusa.com/dealer-location/reads-gun-shop/,"284 Cunningham Mountain RdEllijay, GA 30536",Georgia,Empty field,706-889-4780,Empty field,Empty field,Empty field,Empty field,Empty field,
1078,93031,Red Barn Sportsmans Shop,https://www.henryusa.com/dealer-location/red-barn-sportsmans-shop/,"678 Upper Caldwell RdBowdon, GA 30108",Georgia,Empty field,770-854-8308,gunny.guns.kbars@mindspring.com,Empty field,Empty field,Empty field,Empty field,
1079,93111,Rockingham General & Outdoor Store,https://www.henryusa.com/dealer-location/rockingham-general-outdoor-store/,"1230 Ga. Hwy 32 EAlma, GA 31510",Georgia,Empty field,912-632-5742,boatrightrgs@hotmail.com,Empty field,912-632-5748,Empty field,Empty field,
1080,109864,Royston Gun and Pawn,https://www.henryusa.com/dealer-location/royston-gun-and-pawn/,"1141 E. Main St.Royston, GA 30662",Georgia,Bob Adamson,706-245-0054,roystongunpawn@gmail.com,https://www.facebook.com/RoystonGunandPawn,Empty field,Empty field,Empty field,
1081,93088,S & K,https://www.henryusa.com/dealer-location/s-k/,"1910 Duvall RdChatsworth, GA 30705",Georgia,Empty field,706-517-2494,sandksporting@windstream.net,Empty field,Empty field,Empty field,Empty field,
1082,93134,Sandy Springs Gun Club & Range,https://www.henryusa.com/dealer-location/sandy-springs-gun-club-range/,"5305 Peachtree Industrial BlvdPeachtree Corners, GA 30092",Georgia,Empty field,770-394-4867,Empty field,Empty field,Empty field,Empty field,Empty field,
1083,93098,Segars Sports,https://www.henryusa.com/dealer-location/segars-sports/,"2956 GA Highway 68 NSandersville, GA 31082",Georgia,Empty field,478-552-1486,drsegars@bellsouth.net,Empty field,Empty field,Empty field,Empty field,
1084,110688,Shooter Shack Llc,https://www.henryusa.com/dealer-location/shooter-shack-llc/,"752 Ga Hwy 203 NorthAlma, GA 31510",Georgia,Josh Miller,912-282-5397,shootershackllc@gmail.com,Empty field,Empty field,Empty field,Empty field,
1085,93143,Shooters Of Columbus Inc,https://www.henryusa.com/dealer-location/shooters-of-columbus-inc/,"4445 Milgen RdColumbus, GA 31907",Georgia,Empty field,706-568-9313,socrange1217@gmail.com,http://www.shootersofcolumbus.com,Empty field,Empty field,Empty field,
1086,93038,Shot Spot,https://www.henryusa.com/dealer-location/shot-spot/,"970 Hays Mill RDSTE CCarrollton, GA 30117",Georgia,Empty field,678-664-0610,chase@shotspotllc.com,http://shotspotllc.com,Empty field,Empty field,Empty field,
1087,93093,"Sidney’s Department Store & Uniforms, Inc.",https://www.henryusa.com/dealer-location/sidneys-department-store-uniforms-inc/,"550-560 Broad StreetAugusta, GA 30901",Georgia,Empty field,706-722-3112,mstevenfishman@juno.com,Empty field,706-722-2262,Empty field,Empty field,
1088,110968,Sohler Firearms,https://www.henryusa.com/dealer-location/sohler-firearms/,"2327 Watson BlvdSuite BWarner Robins, GA 31093",Georgia,Jeffrey Sohler,478-444-5088,sohlerfirearms@gmail.com,http://www.sohlerfirearms.com,Empty field,Empty field,Empty field,
1089,93164,Southeastern Armory,https://www.henryusa.com/dealer-location/southeastern-armory/,"2745 Washington RoadAugusta, GA 30909",Georgia,Empty field,709-733-4090,jason@friedmansjewelers.com,Empty field,Empty field,Empty field,Empty field,
1090,93071,Southern Georgia Outdoors,https://www.henryusa.com/dealer-location/southern-georgia-outdoors/,"260 4th Street SEAtt HeathCairo, GA 39828",Georgia,Empty field,229-377-4868,sgomanager@hotmail.com,http://sgogunsandammo.com,Empty field,Empty field,Empty field,
1091,101488,Southern Gun Traders,https://www.henryusa.com/dealer-location/southern-gun-traders/,"115 Wedowee StBowdon, GA 30108",Georgia,Mark Robinson,770-258-4767,iamforgiven@bellsouth.net,https://www.facebook.com/Southernguntraders/,Empty field,Empty field,Empty field,
1092,93157,Sporting Arms Inc,https://www.henryusa.com/dealer-location/sporting-arms-inc/,"159 Parkview RdWinterville, GA 30683",Georgia,Empty field,706-742-7971,info@sportingarmsinc.com,http://www.sportingarmsinc.com,Empty field,Empty field,Empty field,
1093,93166,"Staples, Robert Joseph Jr",https://www.henryusa.com/dealer-location/staples-robert-joseph-jr/,"4042 Chamblee RDOakwood, GA 30566",Georgia,Empty field,770-536-9006,Empty field,Empty field,Empty field,Empty field,Empty field,
1094,93067,"Stillwell Farm Supply, Llc",https://www.henryusa.com/dealer-location/stillwell-farm-supply-llc/,"1927 Harold Pritchett RdEllijay, GA 30540",Georgia,Empty field,706-635-7529,stillwell_farm_supply@hotmail.com,http://www.stillwellfarmsupply.com,Empty field,Empty field,Empty field,
1095,93065,Stoddards,https://www.henryusa.com/dealer-location/stoddards/,"5840 Bankhead HWYDouglasville, GA 30134",Georgia,Empty field,678-838-4848,info@stoddardsguns.com,http://www.stoddardsguns.com,Empty field,Empty field,Empty field,
1096,93132,Straight Shooters,https://www.henryusa.com/dealer-location/straight-shooters/,"182C South Main StreetCleveland, GA 30528",Georgia,Caleb Huiet,706-865-9245,Caleb@ssgaguns.com,http://WWW.SSGAGUNS.COM,Empty field,Empty field,Empty field,
1097,93056,Sylvania Sportman Inc,https://www.henryusa.com/dealer-location/sylvania-sportman-inc/,"120 North Main StreetSylvania, GA 30467",Georgia,Empty field,912-451-6122,sylvaniasportsman@gmail.com,Empty field,Empty field,Empty field,Empty field,
1098,93119,T & C Pawn Shop,https://www.henryusa.com/dealer-location/t-c-pawn-shop/,"725 Kings Bay RdSaint Marys, GA 31558",Georgia,Empty field,912-673-6555,gundept@gmail.com,Empty field,912-673-1201,Empty field,Empty field,
1099,93173,T&c Pawn Shop,https://www.henryusa.com/dealer-location/tc-pawn-shop/,"725 Kings Bay RdSt Marys, GA 31558",Georgia,Empty field,912-729-6555,Empty field,Empty field,Empty field,Empty field,Empty field,
1100,93135,Tactical Advantage Sportsman’s Complex (tasc),https://www.henryusa.com/dealer-location/tactical-advantage-sportsmans-complex-tasc/,"Bldg. 00445, Carter Rd.Fort Gordon, GA 30905",Georgia,CHADD Pittman,706-791-5078,chadd.e.pittman.naf@mail.mil,https://gordon.armymwr.com/outdoor-rec,706-791-5726,Empty field,Empty field,
1101,93034,Tactical Guns & Ammo,https://www.henryusa.com/dealer-location/tactical-guns-ammo/,"360 Lovers LaneCalhoun, GA 30701",Georgia,Empty field,706-263-8065,Empty field,Empty field,Empty field,Empty field,Empty field,
1102,116681,Taylors Outdoors & Apparel,https://www.henryusa.com/dealer-location/taylors-outdoors-apparel/,"516 S Peterson AveDouglas, GA 31533",Georgia,Nathan Taylor,912-331-0560,taylorsoutdoorsga@gmail.com,https://tdpguns.com/,Empty field,Empty field,Empty field,
1103,93055,Tc Outdoors,https://www.henryusa.com/dealer-location/tc-outdoors/,"1242 Northside Dr EStatesboro, GA 30458",Georgia,Empty field,912-489-3474,tcoutdoors@frontier.com,Empty field,Empty field,Empty field,Empty field,
1104,110019,The Baldwin Trading Post,https://www.henryusa.com/dealer-location/the-baldwin-trading-post/,"660 Baldwin RdCornelia, GA 30531",Georgia,Empty field,Empty field,Empty field,Empty field,Empty field,Empty field,Empty field,
1105,93058,The Outdoor Depot,https://www.henryusa.com/dealer-location/the-outdoor-depot/,"250 John W Morrow Jr PkwySuite 200Gainesville, GA 30501",Georgia,Judge Farmer,770-539-9356,theoutdoordepot@att.net,http://www.theoutdoordepot.net,770-539-9359,Empty field,Empty field,
1106,123813,The Pawnderosa Inc,https://www.henryusa.com/dealer-location/the-pawnderosa-inc/,"5478 Battlefield ParkwayRinggold, GA 30736",Georgia,Richard Jones,706-935-7296,sales@ringgoldpawnderosa.com,https://ringgoldpawnderosa.com/,706-935-7280,Empty field,Empty field,
1107,93116,The Second Amendment,https://www.henryusa.com/dealer-location/the-second-amendment/,"1240 Chapel Crossing RoadBrunswick, GA 31525",Georgia,Empty field,912-262-0188,jr@hiturtarget.com,Empty field,Empty field,Empty field,Empty field,
1108,104787,Top Bait & Tackle,https://www.henryusa.com/dealer-location/top-bait-tackle/,"64378 US HWY 82WCuthbert, GA 39840",Georgia,Jason Vincent,229-732-2917,topbaitinc1@windstream.net,https://www.facebook.com/topbaittackle,229-732-2695,Empty field,Empty field,
1109,93152,Trading Place Indoor Gun Range,https://www.henryusa.com/dealer-location/trading-place-indoor-gun-range/,"1412 S. Broad StMonroe, GA 30655",Georgia,Empty field,770-266-0281,lallen@tradingplacegunrange.com,Empty field,Empty field,Empty field,Empty field,
1110,93072,Trigger Time – Flowery Branch,https://www.henryusa.com/dealer-location/trigger-time-2/,"7429 Sprout Springs RdSUITE 101Flowery Branch, GA 30542",Georgia,Empty field,770-967-4444,TRIGGERTIMERANGE@GMAIL.COM,Empty field,Empty field,Empty field,Empty field,
1111,116534,Triple B Guns,https://www.henryusa.com/dealer-location/triple-b-guns/,"6250 Highway 72 WestColbert, GA 30628",Georgia,Timothy Boswell and Bryan Boswell,706-788-7885,Triplebgunsandammo@yahoo.com,https://www.triplebgunsandammo.com/,Empty field,Empty field,Empty field,
1112,93060,Wesley & Sons Gun Sales Llc,https://www.henryusa.com/dealer-location/wesley-sons-gun-sales-llc/,"31 E Oak StreetMcrae, GA 31055",Georgia,Empty field,229-868-2366,wesleyyawn@hotmail.com,https://www.wesleyandsonoutdoors.com/,Empty field,Empty field,Empty field,
1113,93097,Western Auto – Roberta,https://www.henryusa.com/dealer-location/western-auto-2/,"51 N Dugger AvenueRoberta, GA 31078",Georgia,Empty field,478-836-3395,chuck3395@aol.com,Empty field,Empty field,Empty field,Empty field,
1114,101880,X3 Firearms,https://www.henryusa.com/dealer-location/x3-firearms/,"3981 Atlanta Hwy. Ste 7Loganville, GA 30052",Georgia,Thomas Campbell,470-275-5500,thomas@x3firearms.com,http://x3firearms.com/,Empty field,Empty field,Empty field,
1115,110889,Yard Master,https://www.henryusa.com/dealer-location/yard-master/,"633 Hwy 80 EastSwainsboro, GA 30401",Georgia,Frank Canady,478-237-5444,yardmaster@pineland.net,https://www.facebook.com/The-Yard-Master-103577363025546/,478-237-5450,Empty field,Empty field,
1116,116514,"Firearms International, Llc",https://www.henryusa.com/dealer-location/firearms-international-llc/,"1150N Nimitz Hwy#5Honolulu, HI 96817",Hawaii,Mia Mijuskovic,808-400-4011,info@firearmsinternational.us,https://www.firearmsinternational.biz/,Empty field,Empty field,Empty field,
1117,112268,Lihue Fishing Supply Inc,https://www.henryusa.com/dealer-location/lihue-fishing-supply-inc/,"2985 Kalena StreetLihue, HI 96766",Hawaii,Empty field,808-245-4930,lfskauai@yahoo.com,https://lihuefishingsupply.com/,Empty field,Empty field,Empty field,
1118,93192,Magnum Firearms & Range,https://www.henryusa.com/dealer-location/magnum-firearms-range/,"940 Queen StreetHonolulu, HI 96814",Hawaii,Empty field,808-597-1911,art@magnum50.com,http://www.magnum50.com,808-596-2095,Empty field,Empty field,
1119,110853,Maui Ammo and Gun Supply,https://www.henryusa.com/dealer-location/maui-ammo-and-gun-supply/,"851 Eha Street#CWailuku, HI  96793",Hawaii,Chris Redeker,808-244-1626,chris@mauigun.com,https://mauigun.com/,Empty field,Empty field,Empty field,
1120,93189,Ogc Tactical Llc,https://www.henryusa.com/dealer-location/ogc-tactical-llc/,"1625 Kahai StHonolulu, HI 96819",Hawaii,Empty field,808-946-4642,staff@ogctactical.com,Empty field,Empty field,Empty field,Empty field,
1121,93186,S Tokunaga Store Inc,https://www.henryusa.com/dealer-location/s-tokunaga-store-inc/,"619 Manono StHilo, HI 96720",Hawaii,Empty field,808-935-6965,Empty field,http://WWW.TOKUNAGASTORE.COM,Empty field,Empty field,Empty field,
1122,93191,Security Equipment Corporation,https://www.henryusa.com/dealer-location/security-equipment-corporation/,"1322 Young StreetHonolulu, HI 96814",Hawaii,Empty field,808-589-0911,Empty field,Empty field,808-589-0916,Empty field,Empty field,
1123,93194,Stuebs Guns & Ammo,https://www.henryusa.com/dealer-location/stuebs-guns-ammo/,"761 Kanoelehua AveUnit 1-AHilo, HI 96720",Hawaii,Empty field,808-854-1981,Empty field,http://WWW.HILOGUNS.COM,Empty field,Empty field,Empty field,
1124,93185,Wailea Supply,https://www.henryusa.com/dealer-location/wailea-supply/,"PO Box 1916Kihei, HI 96753",Hawaii,Empty field,808-874-9457,Empty field,Empty field,Empty field,Empty field,Empty field,
1125,93187,Windward Gun Shop Inc,https://www.henryusa.com/dealer-location/windward-gun-shop-inc/,"111 Sand Island Access RdHonolulu, HI 96819",Hawaii,Empty field,808-286-1659,WGS808@gmail.com,Empty field,Empty field,Empty field,Empty field,
1126,93193,Young Guns,https://www.henryusa.com/dealer-location/young-guns/,"2885 Paa Street Suite 100Honolulu, HI 96819",Hawaii,Empty field,808-833-4867,Empty field,Empty field,808-833-0677,Empty field,Empty field,
